Tiempo,AnguloRodillaDerecha,AnguloRodillaIzquierda,AngulosPieDerecho,AngulosPieIzquierdo,AngulosTobilloDerecho,AngulosTobilloIzquierdo
22.489,180.0,180.0,0.0,-0.0,90.0,90.0
22.578000000000003,180.0,180.0,0.0,-0.0,90.0,90.0
22.666999999999998,180.0,180.0,0.0,-0.0,90.0,90.0
22.756,180.0,180.0,0.0,-0.0,90.0,90.0
22.846,180.0,180.0,0.0,-0.0,90.0,90.0
22.934,180.0,180.0,0.0,-0.0,90.0,90.0
23.024,180.0,180.0,0.0,-0.0,90.0,90.0
23.112,180.0,180.0,0.0,-0.0,90.0,90.0
23.2,180.0,180.0,0.0,-0.0,90.0,90.0
23.288,180.0,180.0,0.0,-0.0,90.0,90.0
23.378,180.0,180.0,0.0,-0.0,90.0,90.0
23.465999999999998,180.0,180.0,0.0,-0.0,90.0,90.0
23.554000000000002,180.0,180.0,0.0,-0.0,90.0,90.0
23.642,180.0,180.0,0.0,-0.0,90.0,90.0
23.73,180.0,180.0,0.0,-0.0,90.0,90.0
23.819000000000003,180.0,180.0,0.0,-0.0,90.0,90.0
23.906999999999996,180.0,180.0,0.0,-0.0,90.0,90.0
23.995,180.0,180.0,0.0,-0.0,90.0,90.0
24.083000000000002,180.0,180.0,0.0,-0.0,90.0,90.0
24.171999999999997,180.0,180.0,0.0,-0.0,90.0,90.0
24.264,180.0,180.0,0.0,-0.0,90.0,90.0
24.349,180.0,180.0,0.0,-0.0,90.0,90.0
24.436999999999998,180.0,180.0,0.0,-0.0,90.0,90.0
24.525,180.0,180.0,0.0,-0.0,90.0,90.0
24.613000000000003,180.0,180.0,0.0,-0.0,90.0,90.0
24.701,180.0,180.0,0.0,-0.0,90.0,90.0
24.791,180.0,180.0,0.0,-0.0,90.0,90.0
24.879,180.0,180.0,0.0,-0.0,90.0,90.0
24.967,180.0,180.0,0.0,-0.0,90.0,90.0
25.055,180.0,180.0,0.0,-0.0,90.0,90.0
25.143,180.0,180.0,0.0,-0.0,90.0,90.0
25.232,180.0,180.0,0.0,-0.0,90.0,90.0
25.32,180.0,180.0,0.0,-0.0,90.0,90.0
25.408,180.0,180.0,0.0,-0.0,90.0,90.0
25.496,180.0,180.0,0.0,-0.0,90.0,90.0
25.584,180.0,180.0,0.0,-0.0,90.0,90.0
25.671999999999997,180.0,180.0,0.0,-0.0,90.0,90.0
25.761999999999997,180.0,180.0,0.0,-0.0,90.0,90.0
25.85,180.0,180.0,0.0,-0.0,90.0,90.0
25.938000000000002,180.0,180.0,0.0,-0.0,90.0,90.0
26.026,180.0,180.0,0.0,-0.0,90.0,90.0
26.114,180.0,180.0,0.0,-0.0,90.0,90.0
26.204,180.0,180.0,0.0,-0.0,90.0,90.0
26.291999999999998,180.0,180.0,0.0,-0.0,90.0,90.0
26.38,180.0,180.0,0.0,-0.0,90.0,90.0
26.468000000000004,180.0,180.0,0.0,-0.0,90.0,90.0
26.555999999999997,180.0,180.0,0.0,-0.0,90.0,90.0
26.645,180.0,180.0,0.0,-0.0,90.0,90.0
26.734,180.0,180.0,0.0,-0.0,90.0,90.0
26.820999999999998,180.0,180.0,0.0,-0.0,90.0,90.0
26.909000000000002,180.0,180.0,0.0,-0.0,90.0,90.0
26.998,180.0,180.0,0.0,-0.0,90.0,90.0
27.085,180.0,180.0,0.0,-0.0,90.0,90.0
27.175,180.0,180.0,0.0,-0.0,90.0,90.0
27.263,180.0,180.0,0.0,-0.0,90.0,90.0
27.351,180.0,180.0,0.0,-0.0,90.0,90.0
27.439,180.0,180.0,0.0,-0.0,90.0,90.0
27.526999999999997,180.0,180.0,0.0,-0.0,90.0,90.0
27.616999999999997,180.0,180.0,0.0,-0.0,90.0,90.0
27.705,180.0,180.0,0.0,-0.0,90.0,90.0
27.793000000000003,180.0,180.0,0.0,-0.0,90.0,90.0
27.881,180.0,180.0,0.0,-0.0,90.0,90.0
27.969,180.0,180.0,0.0,-0.0,90.0,90.0
28.058000000000003,180.0,180.0,0.0,-0.0,90.0,90.0
28.147,180.0,180.0,0.0,-0.0,90.0,90.0
